"day","nitrate_ug_m3","rh","nitrate_molecules","missing_production","jhno3","f_calc","f_para","ratio"
15,0.71,84.775,6895716405.3932,162381.457956528,6.4925e-07,36.269793740395,20.3906509524001,1.77874624135655
16,1.14,82.6,11071995355.1384,66452.6926678941,5.66166666666667e-07,10.6008915570942,13.1193798970808,0.808032974138739
17,1.39,76.35,13500064511.967,173455.8595446,5.66333333333333e-07,22.6872056322349,11.6633053049936,1.94517806393368
18,1.7,84.3666666666667,16510870266.4344,NA,6.15666666666667e-07,NA,8.64433267507989,NA
19,1.57,85.5666666666667,15248274304.8836,122965.751124252,6.23e-07,12.9442062515792,9.22326820782525,1.40342945254449
20,1.6,87.4,15539642603.703,106215.160451711,5.90166666666667e-07,11.5816598821499,8.86180029528937,1.30691953059542
21,1.39,83.5333333333333,13500064511.967,165651.918821275,5.54833333333333e-07,22.1155672013832,10.6603355151987,2.07456577420594
22,0.83,78.9166666666667,8061189600.67092,278828.063070102,6.45166666666667e-07,53.6124216981019,18.7843928438182,2.85409393552719
23,1.09,85.6333333333333,10586381523.7727,36484.2728034274,4.55666666666667e-07,7.56329244032498,13.228573922334,0.571739061574563
24,0.74,89.2666666666667,7187084704.21263,NA,5.68166666666667e-07,NA,18.5926226986854,NA
25,0.99,86.15,9615153861.04122,NA,3.75333333333333e-07,NA,14.460897324752,NA
26,1.27,81.55,12334591316.6892,NA,3.94666666666667e-07,NA,11.9413253972845,NA
27,1.2,82.8833333333333,11654731952.7772,NA,5.86e-07,NA,12.427538852774,NA
28,2.41,84.5333333333333,23406586671.8276,167100.872695865,5.94166666666667e-07,12.0152371772438,6.09874324921775,1.97011690544358
