date,ch1,ch2,hono,err
44967.37506,-54.61847789,-55.02262152,0.336566937,0.333403485
44967.37541,-54.96094518,-55.14147985,0.112534251,0.311000216
44967.37575,-55.24659984,-55.14217144,-0.172782244,0.282468566
44967.3761,-55.5322545,-55.14286303,-0.45809874,0.253936917
44967.37619,-55.81674205,-55.26121418,-0.624587119,0.237288079
44967.37689,-56.33123874,-55.32168073,-1.079253824,0.191821409
44967.37723,-56.78733129,-55.32237232,-1.535219083,0.146224883
44967.37736,-55.87891277,-55.26354254,-0.684506405,0.23129615
44967.37773,-55.71017249,-55.3233636,-0.455736293,0.254173162
44967.37782,-55.76740953,-55.20538129,-0.631026449,0.236644146
44967.37825,-55.93981028,-55.26531762,-0.743704179,0.225376373
44967.3786,-55.94140179,-55.32509257,-0.685522704,0.231194521
44967.37895,-55.99980593,-55.38486753,-0.68422415,0.231324376
44967.37929,-56.00139745,-55.38555912,-0.685126041,0.231234187
44967.37964,-56.05980159,-55.44533408,-0.683827487,0.231364042
44967.37999,-56.17501836,-55.44602567,-0.79849522,0.219897269
44967.38034,-56.17660987,-55.44671726,-0.799397111,0.21980708
44967.38068,-56.17820138,-55.38832548,-0.859382366,0.213808554
44967.38103,-56.1797929,-55.5071838,-0.742117527,0.225535038
44967.38138,-56.23819704,-55.50787539,-0.799902338,0.219756557
44967.38172,-56.18297592,-55.50856698,-0.743921308,0.22535466
44967.38207,-56.1277548,-55.56834194,-0.628856912,0.2368611
44967.38242,-56.01572105,-55.56903353,-0.515992961,0.248147495
44967.38277,-56.58543886,-55.56972512,-1.085724062,0.191174385
44967.38288,-56.58596937,-55.62903902,-1.026941326,0.197052658
44967.38308,-56.3596207,-55.62943092,-0.799920714,0.21975472
44967.38316,-56.35999206,-55.62959229,-0.800131155,0.219733675
44967.38358,-56.4187145,-55.57133883,-0.91717971,0.20802882
44967.38392,-56.42030601,-55.63111379,-0.858998235,0.213846967
44967.38427,-56.47871016,-55.57272201,-0.975866412,0.20216015
44967.38462,-56.36667641,-55.45524687,-0.981169191,0.201629872
44967.38497,-56.42508055,-55.51502183,-0.979870638,0.201759727
44967.38531,-56.36985943,-55.45663005,-0.982972973,0.201449494
44967.38566,-56.42826357,-55.57548837,-0.922591054,0.207487686
44967.38601,-56.42985509,-55.45801323,-1.041659675,0.195580823
44967.38635,-56.37463397,-55.28145473,-1.16292874,0.183453917
44967.3867,-56.37622548,-55.10489622,-1.341080727,0.165638718
44967.38678,-56.66065998,-54.98689086,-1.743872504,0.125359541
44967.38748,-56.60703038,-54.57469049,-2.102376921,0.089509099
44967.38782,-56.60862189,-54.57538208,-2.103278811,0.08941891
44967.38817,-56.55340077,-54.57607367,-2.047297781,0.095017013
44967.38852,-56.55499228,-54.75401536,-1.870949576,0.112651833
44967.38887,-56.55658379,-54.87287368,-1.753684736,0.124378317
44967.38921,-56.61498794,-54.87356527,-1.811469548,0.118599836
44967.38956,-56.55976682,-54.99242359,-1.637321787,0.136014612
44967.38991,-56.56135833,-55.11128191,-1.520056947,0.147741096
44967.39025,-56.56294984,-55.2892236,-1.343708742,0.165375917
44967.3906,-56.50772872,-55.40808192,-1.169560981,0.182790693
44967.39095,-56.56613287,-55.52694024,-1.109179062,0.188828885
44967.3913,-56.51091175,-55.52763183,-1.053198031,0.194426988
44967.39164,-56.51250326,-55.70557351,-0.876849826,0.212061808
44967.39199,-56.51409477,-55.7062651,-0.877751717,0.211971619
44967.39234,-56.51568628,-55.76604006,-0.819570242,0.217789767
44967.39269,-56.57409043,-55.82581502,-0.818271689,0.217919622
44967.39303,-56.57568194,-55.88558997,-0.760090214,0.22373777
44967.39338,-56.52046082,-55.88628156,-0.704109183,0.229335873
44967.39373,-56.4652397,-55.88697315,-0.648128153,0.234933976
44967.39407,-56.41001858,-55.94674811,-0.533063757,0.246440415
44967.39442,-56.4116101,-56.00652306,-0.474882283,0.252258563
44967.39477,-56.41320161,-56.00721465,-0.475784173,0.252168374
44967.39512,-56.47160575,-56.00790625,-0.533568985,0.246389892
44967.39546,-56.47319726,-56.00859784,-0.534470876,0.246299703
44967.39581,-56.41797614,-56.00928943,-0.478489845,0.251897806
44967.39616,-56.47638029,-56.00998102,-0.536274657,0.246119325
44967.3965,-56.42115917,-56.06975597,-0.421210261,0.257625765
44967.39685,-56.42275068,-56.07044756,-0.422112152,0.257535576
44967.3972,-56.36752956,-56.01205579,-0.425214487,0.257225342
44967.39755,-56.36912108,-56.13091411,-0.307949647,0.268951826
44967.39789,-56.48433785,-56.07252233,-0.481700745,0.251576716
44967.39824,-56.42911673,-56.19138066,-0.307552984,0.268991493
44967.39859,-56.43070824,-56.13298888,-0.36753824,0.262992967
44967.39894,-56.43229975,-56.13368047,-0.368440131,0.262902778
44967.39928,-56.49070389,-56.13437206,-0.426224942,0.257124297
44967.39963,-56.49229541,-56.07598029,-0.486210198,0.251125771
44967.39998,-56.43707429,-56.13575524,-0.371145802,0.262632211
44967.40032,-56.38185317,-56.1955302,-0.256081407,0.27413865
44967.40067,-56.38344468,-56.19622179,-0.256983297,0.274048461
44967.40102,-56.3850362,-56.19691338,-0.257885188,0.273958272
44967.40137,-56.27300245,-56.1385216,-0.204104602,0.279336331
44967.40171,-56.44503185,-56.02104646,-0.493821986,0.250364592
44967.40206,-56.44662336,-56.13990479,-0.376557146,0.262091076
44967.40241,-56.44821487,-56.14059638,-0.377459037,0.262000887
44967.40275,-56.44980638,-56.14128797,-0.378360927,0.261910698
44967.4031,-56.50821053,-56.14197956,-0.436145739,0.256132217
44967.40345,-56.45298941,-56.14267115,-0.380164709,0.26173032
44967.4038,-56.39776829,-56.14336274,-0.324183678,0.267328423
44967.40414,-56.45617243,-56.20313769,-0.322885125,0.267458278
44967.40449,-56.45776395,-56.26291265,-0.26470365,0.273276426
44967.40484,-56.45935546,-56.26360424,-0.265605541,0.273186237
44967.40519,-56.34732171,-56.20521246,-0.211824955,0.278564295
44967.40553,-56.46253848,-56.20590406,-0.326492687,0.267097522
44967.40588,-56.52094262,-56.08842892,-0.502444229,0.249502368
44967.40623,-56.52253413,-56.14820387,-0.444262755,0.255320515
44967.40657,-56.46731302,-56.14889546,-0.388281724,0.260918618
44967.40692,-56.46890453,-56.20867042,-0.33010025,0.266736766
44967.40727,-56.5841213,-56.09119528,-0.562934713,0.24345332
44967.40762,-56.52890018,-56.15097023,-0.447870317,0.254959759
44967.40796,-56.53049169,-56.09257846,-0.507855573,0.248961234
44967.40831,-56.53208321,-56.15235341,-0.449674099,0.254779381
44967.40866,-56.53367472,-56.153045,-0.450575989,0.254689192
44967.409,-56.53526623,-56.21281996,-0.392394515,0.260507339
44967.40935,-56.53685774,-56.15442819,-0.452379771,0.254508814
44967.4097,-56.53844925,-56.21420314,-0.394198296,0.260326961
44967.41005,-56.5968534,-56.21489473,-0.451983108,0.25454848
44967.41039,-56.48481965,-56.21558632,-0.339119156,0.265834875
44967.41074,-56.42959853,-56.21627791,-0.283138126,0.271432978
44967.41109,-56.37437741,-56.15788614,-0.286240461,0.271122745
44967.41144,-56.20553104,-56.09949436,-0.175576954,0.282189096
44967.41178,-56.26393518,-5.62E+01,-0.115195035,0.288227287
44967.41209,-56.20855491,-56.27805848,-4.04499E-05,0.299742746
44967.4124,-56.26674685,-56.39682459,0.060461721,0.305792963
44967.41284,-56.38238802,-56.27953387,-0.172613246,0.282485466
44967.41318,-56.4976048,-56.39839219,-0.169114248,0.282835366
44967.41353,-56.49919631,-56.34000042,-0.229099504,0.27683684
44967.41388,-56.44397519,-56.22252528,-0.291285204,0.27061827
44967.41422,-56.50237933,-56.22321687,-0.349070016,0.264839789
44967.41457,-56.56078347,-56.40115856,-0.229604732,0.276786318
44967.41492,-56.56237499,-56.34276678,-0.289589988,0.270787792
44967.41527,-56.50715387,-56.34345837,-0.233608957,0.276385895
44967.41561,-56.56555801,-56.40323333,-0.232310404,0.276515751
44967.41596,-56.51033689,-56.34484155,-0.235412739,0.276205517
44967.41631,-56.62555366,-56.28644978,-0.409163837,0.258830407
44967.41666,-56.57033255,-56.34622473,-0.294099441,0.270336847
44967.41683,-56.5711283,-56.0511537,-0.589967213,0.24075007
44967.41727,-56.57314422,-56.11111308,-0.532026242,0.246544167
44967.41762,-56.63154836,-56.11180467,-0.589811054,0.240765686
44967.41796,-56.63313987,-56.23066299,-0.472546214,0.25249217
44967.41831,-56.74835664,-56.23135458,-0.587213947,0.241025396
44967.41866,-56.63632289,-56.17296281,-0.533433361,0.246403455
44967.419,-56.58110178,-56.29182113,-0.3592856,0.263818231
44967.41935,-56.69631855,-56.23342936,-0.533036698,0.246443121
44967.4197,-56.64109743,-56.35228768,-0.358888937,0.263857897
44967.42005,-56.58587631,-56.35297927,-0.302907906,0.269456
44967.42039,-56.58746782,-56.29458749,-0.362893162,0.263457475
44967.42074,-56.7026846,-56.35436245,-0.41847753,0.257899038
44967.42109,-56.59065085,-56.35505404,-0.305613578,0.269185433
44967.42144,-56.76268025,-56.35574563,-0.477164232,0.252030368
44967.42178,-56.59383387,-56.29735385,-0.366500725,0.263096718
44967.42213,-56.65223801,-56.29804544,-0.424285536,0.257318237
44967.42248,-56.65382953,-56.3578204,-0.366104062,0.263136385
44967.42282,-56.59860841,-56.35851199,-0.310123031,0.268734488
44967.42317,-56.71382518,-56.35920358,-0.424790764,0.257267715
44967.42352,-56.65860406,-56.35989517,-0.368809734,0.262865818
44967.42387,-56.66019557,-56.3015034,-0.428794989,0.256867292
44967.42421,-56.71859972,-56.30219499,-0.486579801,0.251088811
44967.42456,-56.6633786,-56.36196994,-0.371515405,0.26259525
44967.42466,-56.43660553,-56.36217742,-0.144254289,0.285321362
44967.42487,-56.60799833,-56.53984247,-0.13819409,0.285927382
44967.42501,-56.66544756,-56.42195238,-0.313604498,0.268386341
44967.42519,-56.66624332,-56.36321481,-0.373138809,0.26243291
44967.42537,-56.66709213,-56.48175039,-0.255453086,0.274201482
44967.42581,-56.61229541,-56.42354303,-0.258795925,0.273867198
44967.42616,-56.55707429,-56.48331799,-0.14373153,0.285373638
44967.4265,-56.61547844,-56.42492622,-0.260599707,0.27368682
44967.42685,-56.56025732,-56.42561781,-0.204618676,0.279284923
