"date","hono","flag"
2023-02-10 08:58:35,-0.814097544216224,NA
2023-02-10 08:59:05,-1.03672563643244,NA
2023-02-10 08:59:35,-1.32052237994595,NA
2023-02-10 09:00:05,-1.60431912345947,NA
2023-02-10 09:00:13,-1.77018786697298,1
2023-02-10 09:01:13,-2.22205800529731,1
2023-02-10 09:01:43,-2.67613279491892,1
2023-02-10 09:01:54,-1.82694721567568,1
2023-02-10 09:02:26,-1.59770516956758,1
2023-02-10 09:02:34,-1.77239251827027,1
2023-02-10 09:03:11,-1.88370656437839,1
2023-02-10 09:03:41,-1.8247425643784,1
2023-02-10 09:04:11,-1.82253791308109,1
2023-02-10 09:04:41,-1.82253791308109,1
2023-02-10 09:05:11,-1.82033326178379,1
2023-02-10 09:05:41,-1.9338519591892,1
2023-02-10 09:06:11,-1.9338519591892,1
2023-02-10 09:06:41,-1.9928159591892,1
2023-02-10 09:07:11,-1.87488795918919,1
2023-02-10 09:07:41,-1.93164730789189,1
2023-02-10 09:08:11,-1.87488795918919,1
2023-02-10 09:08:41,-1.75916461048649,1
2023-02-10 09:09:11,-1.64564591308108,1
2023-02-10 09:09:41,-2.21323940010811,1
2023-02-10 09:09:51,-2.15427540010812,1
2023-02-10 09:10:08,-1.92723800529731,1
2023-02-10 09:10:15,-1.92723800529731,1
2023-02-10 09:10:51,-2.04296135400001,1
2023-02-10 09:11:21,-1.98399735400002,1
2023-02-10 09:11:51,-2.0997207027027,1
2023-02-10 09:12:21,-2.10413000529731,1
2023-02-10 09:12:51,-2.10192535400001,1
2023-02-10 09:13:21,-2.10413000529731,1
2023-02-10 09:13:51,-2.04296135400001,1
2023-02-10 09:14:21,-2.16088935400001,1
2023-02-10 09:14:51,-2.2810220052973,1
2023-02-10 09:15:21,-2.45791400529731,1
2023-02-10 09:15:28,-2.85963874881081,1
2023-02-10 09:16:28,-3.21562740010812,1
2023-02-10 09:16:58,-3.21562740010812,1
2023-02-10 09:17:28,-3.15886805140542,1
2023-02-10 09:17:58,-2.98197605140542,1
2023-02-10 09:18:28,-2.86404805140542,1
2023-02-10 09:18:58,-2.92080740010812,1
2023-02-10 09:19:28,-2.74612005140541,1
2023-02-10 09:19:58,-2.62819205140542,1
2023-02-10 09:20:28,-2.45130005140541,1
2023-02-10 09:20:58,-2.27661270270271,1
2023-02-10 09:21:28,-2.21544405140541,1
2023-02-10 09:21:58,-2.15868470270271,1
2023-02-10 09:22:28,-1.98179270270271,1
2023-02-10 09:22:58,-1.98179270270271,1
2023-02-10 09:23:28,-1.92282870270271,1
2023-02-10 09:23:58,-1.92062405140541,1
2023-02-10 09:24:28,-1.86166005140542,1
2023-02-10 09:24:58,-1.80490070270271,1
2023-02-10 09:25:28,-1.74814135400001,1
2023-02-10 09:25:58,-1.63241800529731,1
2023-02-10 09:26:28,-1.57345400529731,1
2023-02-10 09:26:58,-1.57345400529731,1
2023-02-10 09:27:28,-1.63021335400001,1
2023-02-10 09:27:58,-1.63021335400001,1
2023-02-10 09:28:28,-1.57345400529731,1
2023-02-10 09:28:58,-1.63021335400001,1
2023-02-10 09:29:28,-1.5144900052973,1
2023-02-10 09:29:58,-1.5144900052973,1
2023-02-10 09:30:28,-1.51669465659459,1
2023-02-10 09:30:58,-1.3987666565946,1
2023-02-10 09:31:28,-1.57124935400001,1
2023-02-10 09:31:58,-1.39656200529731,1
2023-02-10 09:32:28,-1.45552600529732,1
2023-02-10 09:32:58,-1.45552600529732,1
2023-02-10 09:33:28,-1.51228535400002,1
2023-02-10 09:33:58,-1.57124935400001,1
2023-02-10 09:34:28,-1.45552600529732,1
2023-02-10 09:34:58,-1.33980265659459,1
2023-02-10 09:35:28,-1.33980265659459,1
2023-02-10 09:35:58,-1.33980265659459,1
2023-02-10 09:36:28,-1.28524795918921,1
2023-02-10 09:36:58,-1.57345400529731,1
2023-02-10 09:37:28,-1.45552600529732,1
2023-02-10 09:37:58,-1.45552600529732,1
2023-02-10 09:38:28,-1.45552600529732,1
2023-02-10 09:38:58,-1.51228535400002,1
2023-02-10 09:39:28,-1.45552600529732,1
2023-02-10 09:39:58,-1.3987666565946,1
2023-02-10 09:40:28,-1.39656200529731,1
2023-02-10 09:40:58,-1.33759800529731,1
2023-02-10 09:41:28,-1.33759800529731,1
2023-02-10 09:41:58,-1.28304330789189,1
2023-02-10 09:42:28,-1.39656200529731,1
2023-02-10 09:42:58,-1.57124935400001,1
2023-02-10 09:43:28,-1.51228535400002,1
2023-02-10 09:43:58,-1.45552600529732,1
2023-02-10 09:44:28,-1.39656200529731,1
2023-02-10 09:44:58,-1.62800870270271,1
2023-02-10 09:45:28,-1.51228535400002,1
2023-02-10 09:45:58,-1.57124935400001,1
2023-02-10 09:46:28,-1.51228535400002,1
2023-02-10 09:46:58,-1.51228535400002,1
2023-02-10 09:47:28,-1.45332135400001,1
2023-02-10 09:47:58,-1.51228535400002,1
2023-02-10 09:48:28,-1.45332135400001,1
2023-02-10 09:48:58,-1.51008070270271,1
