date,ch1,ch2,hono,err
44974.3963,-21.70047629,-23.22019586,1.492677303,0.358801471
44974.39664,-21.70176221,-21.8036209,0.074814821,0.217015223
44974.39699,-21.2694407,-19.61440505,-1.681540775,0.041379663
44974.39734,-20.77517526,-17.48957593,-3.311488517,-0.121615111
44974.39769,-20.71451727,-15.75106727,-4.989263594,-0.289392619
44974.39803,59.6874044,82.11684596,-22.35506151,-2.025972411
44974.39838,-184.9923638,129.6343276,-314.8572214,-31.2761884
44974.39873,43.64135739,-67.9685144,111.6642559,11.37595933
44974.39907,-109.7950173,-15.68641392,-94.2454255,-9.215008809
44974.39942,20.03815219,-16.2014412,36.26456413,3.835990154
44974.39977,0.586475531,38.46296871,-37.87576233,-3.578042493
44974.40012,85.82002292,-8.346125471,94.27309386,9.636843126
44974.40046,79.06684977,-20.83708661,100.0024663,10.20978037
44974.40081,-69.22817958,11.09880367,-80.41325262,-7.831791522
44974.40116,-48.91185988,-70.60790422,21.63509234,2.373042975
44974.4015,-88.80503,-52.96587049,-35.94982477,-3.385448737
44974.40185,-51.82579595,74.7131039,-126.6034831,-12.45081457
44974.4022,-45.94240951,64.60445219,-110.6041133,-10.85087759
44974.40255,41.27334331,106.3271271,-65.00235063,-6.290701322
44974.40289,-95.25234132,-73.9556815,-21.41535946,-1.932002206
44974.40324,-99.03220634,37.69099433,-136.8466106,-13.47512732
44974.40359,103.8328443,102.2709624,1.691274234,0.378661164
44974.40394,-20.05628075,-14.78406641,-5.297207664,-0.320187026
44974.40428,-20.18145451,-14.97715998,-5.22944384,-0.313410644
44974.40463,-20.30662827,-14.4619994,-5.869934169,-0.377459676
44974.40498,-21.05124122,-15.49212061,-5.585353826,-0.349001642
44974.40532,-21.61002242,-16.972949,-4.66400296,-0.256866556
44974.40567,-22.23074754,-18.4537774,-3.804673206,-0.17093358
44974.40602,-23.22313617,-20.06337928,-3.188696639,-0.109335923
44974.40637,-24.15358089,-21.67298115,-2.51069896,-0.041536156
44974.40671,-25.20791344,-23.41135651,-1.827970022,0.026736738
44974.40706,-26.13835816,-24.89218491,-1.278745825,0.081659158
44974.40741,-27.19269071,-26.50178678,-0.72479037,0.137054703
44974.40775,-28.12313543,-27.98261518,-0.175566173,0.191977123
44974.4081,-29.05358015,-29.20589661,0.116111058,0.221144846
44974.40845,-29.86013702,-30.17163107,0.274283549,0.236962095
44974.4088,-30.23308646,-30.75104509,0.480283373,0.257562078
44974.40914,-30.54409198,-31.0085254,0.426370603,0.252170801
44974.40949,-30.73120966,-31.33039246,0.560886798,0.26562242
44974.40984,-30.91832734,-31.52348603,0.56662951,0.266196691
44974.41019,-30.85766934,-31.65219286,0.756069927,0.285140733
44974.41053,-30.92089919,-31.78089969,0.821468121,0.291680553
44974.41088,-31.16996079,-32.03838,0.829576463,0.292491387
44974.41123,-31.29513455,-32.23147357,0.897340286,0.299267769
44974.41157,-31.35836439,-32.23140692,0.833964998,0.29293024
44974.41192,-31.42159423,-32.10256679,0.641816228,0.273715363
44974.41227,-31.48482407,-31.78056643,0.256507233,0.235184464
44974.41262,-31.54805391,-31.52295281,-0.064415019,0.203092239
44974.41296,-31.61128375,-31.07217897,-0.578497496,0.151683991
