"date_utc","hono_ppt","hono_err_ppt","hono_lod_ppt","flag"
2023-02-07 08:00:00,NA,NA,0.269752189872438,1
2023-02-07 09:00:00,NA,NA,0.269752189872438,1
2023-02-07 10:00:00,1.34424260405113,0.245230691025902,0.124051910558427,1
2023-02-07 11:00:00,1.45752911765739,0.256559342386529,0.110806430620789,1
2023-02-07 12:00:00,2.28308217483115,0.339114648103905,0.110806430620789,1
2023-02-07 13:00:00,3.01243589277444,0.412050019898233,0.110806430620789,1
2023-02-07 14:00:00,4.38319366055149,0.549125796675939,0.110806430620789,1
2023-02-07 15:00:00,3.5087626652092,0.46168269714171,0.110806430620789,1
2023-02-07 16:00:00,2.85496498701674,0.396302929322463,0.123449725914462,1
2023-02-07 17:00:00,1.56184726470677,0.304921042972485,0.148736316501808,1
2023-02-07 18:00:00,0.260644937981032,0.174800810299912,0.148736316501808,1
2023-02-07 19:00:00,-0.616823738704975,0.0870539426313109,0.148736316501808,1
2023-02-07 20:00:00,-0.953816667491528,0.0533546497526556,0.148736316501808,1
2023-02-07 21:00:00,-0.700694359740077,0.0786668805278007,0.148736316501808,1
2023-02-07 22:00:00,-0.585883769613256,0.0901479395404828,0.135414121410008,1
2023-02-07 23:00:00,-0.921697225089209,0.0153043870126486,0.10432899952914,1
2023-02-08,-0.253845283783214,0.0789577636053874,0.10432899952914,1
2023-02-08 01:00:00,-0.0117156801857869,0.103157431510561,0.10432899952914,1
2023-02-08 02:00:00,-0.49635998727702,0.054693000801438,0.10432899952914,1
2023-02-08 03:00:00,0.0972571914702106,0.114054718676161,0.10432899952914,1
2023-02-08 04:00:00,NA,NA,0.106086060155324,1
2023-02-08 05:00:00,1.08373643457116,0.217973824864808,0.109600181407692,1
2023-02-08 06:00:00,1.01831477128675,0.211431658536367,0.109600181407692,1
2023-02-08 07:00:00,1.7068722726036,0.280287408668052,0.109600181407692,1
2023-02-08 08:00:00,2.75217489151144,0.384817670558837,0.109600181407692,1
2023-02-08 09:00:00,6.23176901640221,0.732777083047914,0.109600181407692,1
2023-02-08 10:00:00,NA,NA,0.109600181407692,1
2023-02-08 11:00:00,12.0964077149023,1.31924095289792,0.109600181407692,1
2023-02-08 12:00:00,14.342830348769,1.5438832162846,0.109600181407692,1
2023-02-08 13:00:00,15.8965738056678,1.69925756197447,0.109600181407692,1
2023-02-08 14:00:00,7.5587543474274,0.865475616150432,0.109600181407692,1
2023-02-08 15:00:00,7.81192027442096,0.890792208849789,0.113369847625149,1
2023-02-08 16:00:00,4.82265907019323,0.667259412776137,0.184993505756814,1
2023-02-08 17:00:00,4.03917026019569,0.588910531776383,0.184993505756814,1
2023-02-08 18:00:00,1.09602913979017,0.294596419735831,0.184993505756814,1
2023-02-08 19:00:00,0.455913509703092,0.230584856727124,0.184993505756814,1
2023-02-08 20:00:00,0.469874400183932,0.231980945775208,0.184993505756814,1
2023-02-08 21:00:00,0.455485537546605,0.230542059511475,0.184993505756814,1
2023-02-08 22:00:00,-0.0179457697163472,0.18319892878518,0.184993505756814,1
2023-02-08 23:00:00,-0.571773639489455,0.127816141807869,0.184993505756814,1
2023-02-09,NA,NA,0.145716802255263,1
2023-02-09 01:00:00,-1.1012856017191,0.0179432360912697,0.127515403071618,1
2023-02-09 02:00:00,-0.652849520941356,0.0622304509774823,0.127515403071618,1
2023-02-09 03:00:00,-0.261306367440671,0.101384766327551,0.127515403071618,1
2023-02-09 04:00:00,-0.460898123476367,0.0814255907239813,0.127515403071618,1
2023-02-09 05:00:00,0.0487206991157354,0.132387472983191,0.127515403071618,1
2023-02-09 06:00:00,0.0764588980321057,1.82261152352492,1.19623388248334,1
2023-02-09 07:00:00,-0.849478650003954,1.73001776872131,1.81496563372171,1
2023-02-09 08:00:00,-0.817055057523853,1.73326012796932,1.81496563372171,1
2023-02-09 09:00:00,0.203032469387488,1.83526888066045,1.81496563372171,1
2023-02-09 10:00:00,11.1795980962584,2.93292544334754,1.81496563372171,1
2023-02-09 11:00:00,NA,NA,1.81496563372171,1
2023-02-09 12:00:00,NA,NA,1.81496563372171,1
2023-02-09 13:00:00,NA,NA,1.81496563372171,1
2023-02-09 14:00:00,NA,NA,1.81496563372171,1
2023-02-09 15:00:00,NA,NA,1.81496563372171,1
2023-02-09 16:00:00,NA,NA,1.81496563372171,1
2023-02-09 17:00:00,NA,NA,1.81496563372171,1
2023-02-09 18:00:00,NA,NA,1.81496563372171,1
2023-02-09 19:00:00,NA,NA,NA,NA
2023-02-09 20:00:00,NA,NA,NA,NA
2023-02-09 21:00:00,NA,NA,NA,NA
2023-02-09 22:00:00,NA,NA,NA,NA
2023-02-09 23:00:00,NA,NA,NA,NA
2023-02-10,NA,NA,NA,NA
2023-02-10 01:00:00,NA,NA,NA,NA
2023-02-10 02:00:00,NA,NA,NA,NA
2023-02-10 03:00:00,NA,NA,NA,NA
2023-02-10 04:00:00,NA,NA,NA,NA
2023-02-10 05:00:00,NA,NA,NA,NA
2023-02-10 06:00:00,NA,NA,NA,NA
2023-02-10 07:00:00,NA,NA,NA,NA
2023-02-10 08:00:00,NA,NA,NA,NA
2023-02-10 09:00:00,NA,NA,0.225906880368447,0
2023-02-10 10:00:00,NA,NA,0.225906880368447,0
2023-02-10 11:00:00,NA,NA,0.225906880368447,0
2023-02-10 12:00:00,13.7224296481965,1.59814984518809,0.225906880368447,0
2023-02-10 13:00:00,13.6982537995316,1.59573226032161,0.211405739822497,0
2023-02-10 14:00:00,12.9708197969069,1.43140270924262,0.134320729551924,0
