"hour","diurnal_hono","diurnal_hono_2sd"
0,0.303858945118467,1.8896748420158
1,0.258787247583159,1.73525663609439
2,0.353910455157352,1.7874656476975
3,0.494179338123711,1.651428957069
4,1.0577933206687,2.36463114584429
5,0.848534457516078,1.12080038818234
6,0.97806285443235,1.54807750137506
7,0.860602235392251,2.12462775560642
8,0.950375852308283,3.43684440800594
9,4.34624436127528,7.0232781412855
10,6.8107483190094,7.09496110753904
11,9.48658289881559,8.91211060401352
12,12.551362269379,9.88972422609503
13,12.7094411706853,10.1087078699514
14,11.2397588741705,8.03400018480123
15,8.86959556494426,6.51833815390374
16,7.02886014942349,5.47577184052817
17,4.54682468633241,5.17493237621128
18,2.01971571008213,3.74740478201531
19,0.324142882064723,3.32519571686746
20,-0.0506204842755608,2.83497637243305
21,-0.0964048840336333,2.31299887855399
22,0.007437012899839,1.68221917948886
23,0.268673563075181,2.07656028901703
