"hour","hono"
0,0.307295396468399
1,0.243161617085634
2,0.364963862377213
3,0.479604692148791
4,1.05248626134411
5,0.843753172325947
6,0.979137417761234
7,0.874637484397284
8,0.955567499472478
9,4.34152579595673
10,6.79806963307491
11,9.50113587085775
12,12.5306434742753
13,12.7121893701898
14,11.2397413424051
15,8.86327697384993
16,7.00948415256892
17,4.56794710243061
18,1.99022514633114
19,0.307070273778932
20,-0.0497005185651757
21,-0.0921802051816719
22,-0.0251935472791735
23,0.264135886090893
