"date","hono","error","low_quality_flag"
2023-02-07 09:53:35,NA,NA,1
2023-02-07 09:54:05,NA,NA,1
2023-02-07 09:54:35,NA,NA,1
2023-02-07 09:55:05,NA,NA,1
2023-02-07 09:55:35,NA,NA,1
2023-02-07 09:56:05,NA,NA,1
2023-02-07 09:56:35,NA,NA,1
2023-02-07 09:57:05,NA,NA,1
2023-02-07 09:57:35,NA,NA,1
2023-02-07 09:58:05,NA,NA,1
2023-02-07 09:58:35,NA,NA,1
2023-02-07 09:59:05,NA,NA,1
2023-02-07 09:59:35,NA,NA,1
2023-02-07 10:00:05,NA,NA,1
2023-02-07 10:00:35,NA,NA,1
2023-02-07 10:01:05,NA,NA,1
2023-02-07 10:01:35,NA,NA,1
2023-02-07 10:02:05,NA,NA,1
2023-02-07 10:02:35,NA,NA,1
2023-02-07 10:03:05,NA,NA,1
2023-02-07 10:03:35,NA,NA,1
2023-02-07 10:04:05,NA,NA,1
2023-02-07 10:04:35,NA,NA,1
2023-02-07 10:05:05,NA,NA,1
2023-02-07 10:05:35,NA,NA,1
2023-02-07 10:06:05,NA,NA,1
2023-02-07 10:06:35,NA,NA,1
2023-02-07 10:07:05,NA,NA,1
2023-02-07 10:07:35,NA,NA,1
2023-02-07 10:08:05,NA,NA,1
2023-02-07 10:08:35,NA,NA,1
2023-02-07 10:09:05,NA,NA,1
2023-02-07 10:09:35,NA,NA,1
2023-02-07 10:10:05,NA,NA,1
2023-02-07 10:10:35,NA,NA,1
2023-02-07 10:11:05,NA,NA,1
2023-02-07 10:11:35,NA,NA,1
2023-02-07 10:12:05,NA,NA,1
2023-02-07 10:12:35,NA,NA,1
2023-02-07 10:13:05,NA,NA,1
2023-02-07 10:13:35,NA,NA,1
2023-02-07 10:14:05,NA,NA,1
2023-02-07 10:14:35,NA,NA,1
2023-02-07 10:15:05,NA,NA,1
2023-02-07 10:15:35,NA,NA,1
2023-02-07 10:16:05,NA,NA,1
2023-02-07 10:16:35,NA,NA,1
2023-02-07 10:17:05,NA,NA,1
2023-02-07 10:17:35,NA,NA,1
2023-02-07 10:18:05,NA,NA,1
2023-02-07 10:18:35,NA,NA,1
2023-02-07 10:19:05,NA,NA,1
2023-02-07 10:19:35,NA,NA,1
2023-02-07 10:20:05,NA,NA,1
2023-02-07 10:20:35,NA,NA,1
2023-02-07 10:21:05,NA,NA,1
2023-02-07 10:21:35,NA,NA,1
2023-02-07 10:22:05,NA,NA,1
2023-02-07 10:22:35,NA,NA,1
2023-02-07 10:23:05,NA,NA,1
2023-02-07 10:23:35,NA,NA,1
2023-02-07 10:24:05,NA,NA,1
2023-02-07 10:24:35,NA,NA,1
2023-02-07 10:25:05,NA,NA,1
2023-02-07 10:25:35,NA,NA,1
2023-02-07 10:26:05,NA,NA,1
2023-02-07 10:26:35,NA,NA,1
2023-02-07 10:27:05,NA,NA,1
2023-02-07 10:27:35,NA,NA,1
2023-02-07 10:28:05,NA,NA,1
2023-02-07 10:28:35,NA,NA,1
2023-02-07 10:29:05,NA,NA,1
2023-02-07 10:29:35,NA,NA,1
2023-02-07 10:30:05,NA,NA,1
2023-02-07 10:30:35,NA,NA,1
2023-02-07 10:31:05,NA,NA,1
2023-02-07 10:31:35,NA,NA,1
2023-02-07 10:32:05,NA,NA,1
2023-02-07 10:32:35,NA,NA,1
2023-02-07 10:33:05,NA,NA,1
2023-02-07 10:33:35,NA,NA,1
2023-02-07 10:34:05,NA,NA,1
2023-02-07 10:34:35,NA,NA,1
2023-02-07 10:35:05,NA,NA,1
2023-02-07 10:35:35,NA,NA,1
2023-02-07 10:36:05,NA,NA,1
2023-02-07 10:36:35,NA,NA,1
2023-02-07 10:37:05,NA,NA,1
2023-02-07 10:37:35,NA,NA,1
2023-02-07 10:38:05,NA,NA,1
2023-02-07 10:38:35,NA,NA,1
2023-02-07 10:39:05,NA,NA,1
2023-02-07 10:39:35,NA,NA,1
2023-02-07 10:40:05,NA,NA,1
2023-02-07 10:40:35,NA,NA,1
2023-02-07 10:41:05,NA,NA,1
2023-02-07 10:41:35,NA,NA,1
2023-02-07 10:42:05,NA,NA,1
2023-02-07 10:42:35,NA,NA,1
2023-02-07 10:43:05,NA,NA,1
2023-02-07 10:43:35,NA,NA,1
2023-02-07 10:44:05,NA,NA,1
2023-02-07 10:44:35,NA,NA,1
2023-02-07 10:45:05,NA,NA,1
2023-02-07 10:45:35,NA,NA,1
2023-02-07 10:46:05,NA,NA,1
2023-02-07 10:46:35,NA,NA,1
2023-02-07 10:47:05,NA,NA,1
2023-02-07 10:47:35,NA,NA,1
2023-02-07 10:48:05,NA,NA,1
2023-02-07 10:48:35,NA,NA,1
2023-02-07 10:49:05,NA,NA,1
