Date,channel 1,error,channel 2,error
10/02/2023 09:56,-0.099433355,-0.0094366,-0.095008759,-0.009359598
10/02/2023 09:56,-0.099436157,-0.00943688,-0.094909929,-0.009349715
10/02/2023 09:57,-0.099338958,-0.00942716,-0.0950111,-0.009359832
10/02/2023 09:57,-0.099241759,-0.00941744,-0.095112271,-0.009369949
10/02/2023 09:58,-0.099244561,-0.00941772,-0.095113441,-0.009370066
10/02/2023 09:58,-0.099247362,-0.009418,-0.095114612,-0.009370183
10/02/2023 09:59,-0.099050163,-0.009398281,-0.095015782,-0.0093603
10/02/2023 09:59,-0.099352965,-0.009428561,-0.094816953,-0.009340417
10/02/2023 10:00,-0.099355766,-0.009428841,-0.095018123,-0.009360535
10/02/2023 10:00,-0.099358567,-0.009429121,-0.095019294,-0.009360652
10/02/2023 10:01,-0.099361369,-0.009429401,-0.095020464,-0.009360769
10/02/2023 10:01,-0.09946417,-0.009439681,-0.095021635,-0.009360886
10/02/2023 10:02,-0.099366971,-0.009429961,-0.095022805,-0.009361003
10/02/2023 10:02,-0.099269773,-0.009420241,-0.095023976,-0.00936112
10/02/2023 10:03,-0.099372574,-0.009430522,-0.095125146,-0.009371237
10/02/2023 10:03,-0.099375375,-0.009430802,-0.095226317,-0.009381354
10/02/2023 10:04,-0.099378177,-0.009431082,-0.095227487,-0.009381471
10/02/2023 10:04,-0.099180978,-0.009411362,-0.095128658,-0.009371588
10/02/2023 10:05,-0.099383779,-0.009431642,-0.095129829,-0.009371705
10/02/2023 10:05,-0.099486581,-0.009441922,-0.094930999,-0.009351822
10/02/2023 10:06,-0.099489382,-0.009442202,-0.09503217,-0.009361939
10/02/2023 10:06,-0.099392183,-0.009432483,-0.09503334,-0.009362056
10/02/2023 10:07,-0.099394985,-0.009432763,-0.095134511,-0.009372173
10/02/2023 10:07,-0.099597786,-0.009453043,-0.094935681,-0.00935229
10/02/2023 10:08,-0.099500587,-0.009443323,-0.095036852,-0.009362407
10/02/2023 10:08,-0.099503389,-0.009443603,-0.094938022,-0.009352524
10/02/2023 10:09,-0.09950619,-0.009443883,-0.095039193,-0.009362641
10/02/2023 10:09,-0.099508991,-0.009444163,-0.095040363,-0.009362759
10/02/2023 10:10,-0.099511793,-0.009444443,-0.095141534,-0.009372876
10/02/2023 10:10,-0.099514594,-0.009444724,-0.095042704,-0.009362993
10/02/2023 10:11,-0.099517395,-0.009445004,-0.095143875,-0.00937311
10/02/2023 10:11,-0.099620197,-0.009455284,-0.095145045,-0.009373227
10/02/2023 10:12,-0.099422998,-0.009435564,-0.095146216,-0.009373344
10/02/2023 10:12,-0.099325799,-0.009425844,-0.095147386,-0.009373461
10/02/2023 10:13,-0.099228601,-0.009416124,-0.095048557,-0.009363578
10/02/2023 10:13,-0.098931402,-0.009386404,-0.094949728,-0.009353695
10/02/2023 10:14,-0.099034203,-0.009396685,-0.095150898,-0.009373812
10/02/2023 10:14,-0.098936725,-0.009386937,-0.095251952,-0.009383917
10/02/2023 10:15,-0.099039152,-0.009397179,-0.095452966,-0.009404019
10/02/2023 10:15,-0.099242701,-0.009417534,-0.095254449,-0.009384167
10/02/2023 10:16,-0.099445502,-0.009437814,-0.095455619,-0.009404284
10/02/2023 10:16,-0.099448303,-0.009438095,-0.09535679,-0.009394401
10/02/2023 10:17,-0.099351105,-0.009428375,-0.09515796,-0.009374518
10/02/2023 10:17,-0.099453906,-0.009438655,-0.095159131,-0.009374635
10/02/2023 10:18,-0.099556707,-0.009448935,-0.095460301,-0.009404752
10/02/2023 10:18,-0.099559509,-0.009449215,-0.095361472,-0.009394869
10/02/2023 10:19,-0.09946231,-0.009439495,-0.095362642,-0.009394986
10/02/2023 10:19,-0.099565112,-0.009449775,-0.095463813,-0.009405103
10/02/2023 10:20,-0.099467913,-0.009440055,-0.095364984,-0.009395221
10/02/2023 10:20,-0.099670714,-0.009460336,-0.095266154,-0.009385338
10/02/2023 10:21,-0.099573516,-0.009450616,-0.095367325,-0.009395455
10/02/2023 10:21,-0.099574916,-0.009450756,-0.09486791,-0.009345513
10/02/2023 10:22,-0.099578465,-0.009451111,-0.094969393,-0.009355661
10/02/2023 10:22,-0.099681266,-0.009461391,-0.094970563,-0.009355778
10/02/2023 10:23,-0.099684067,-0.009461671,-0.095171734,-0.009375896
10/02/2023 10:23,-0.099886869,-0.009481951,-0.095172904,-0.009376013
10/02/2023 10:24,-0.09968967,-0.009462231,-0.095074075,-0.00936613
10/02/2023 10:24,-0.099592471,-0.009452511,-0.095275245,-0.009386247
10/02/2023 10:25,-0.099795273,-0.009472791,-0.095176416,-0.009376364
10/02/2023 10:25,-0.099698074,-0.009463072,-0.095377586,-0.009396481
10/02/2023 10:26,-0.099600875,-0.009453352,-0.095378757,-0.009396598
10/02/2023 10:26,-0.099603677,-0.009453632,-0.095279927,-0.009386715
10/02/2023 10:27,-0.099806478,-0.009473912,-0.095381098,-0.009396832
10/02/2023 10:27,-0.099609279,-0.009454192,-0.095382268,-0.009396949
10/02/2023 10:28,-0.099912081,-0.009484472,-0.095383439,-0.009397066
10/02/2023 10:28,-0.099614882,-0.009454752,-0.095284609,-0.009387183
10/02/2023 10:29,-0.099717683,-0.009465033,-0.09528578,-0.0093873
10/02/2023 10:29,-0.099720485,-0.009465313,-0.095386951,-0.009397417
10/02/2023 10:30,-0.099623286,-0.009455593,-0.095388121,-0.009397534
10/02/2023 10:30,-0.099826087,-0.009475873,-0.095389292,-0.009397651
10/02/2023 10:31,-0.099728889,-0.009466153,-0.095390462,-0.009397768
10/02/2023 10:31,-0.09973169,-0.009466433,-0.095291633,-0.009387885
10/02/2023 10:32,-0.099834491,-0.009476713,-0.095292803,-0.009388003
10/02/2023 10:32,-0.099737293,-0.009466993,-0.095393974,-0.00939812
10/02/2023 10:32,-0.099338133,-0.009427077,-0.095394325,-0.009398155
10/02/2023 10:33,-0.099639814,-0.009457246,-0.095695027,-0.009428225
10/02/2023 10:33,-0.099740934,-0.009467358,-0.095495495,-0.009408272
10/02/2023 10:33,-0.099742335,-0.009467498,-0.095396081,-0.00939833
10/02/2023 10:33,-0.099743829,-0.009467647,-0.095596705,-0.009418393
10/02/2023 10:34,-0.099647377,-0.009458002,-0.095498188,-0.009408541
10/02/2023 10:34,-0.099550179,-0.009448282,-0.095599358,-0.009418658
10/02/2023 10:35,-0.09965298,-0.009458562,-0.095500529,-0.009408775
10/02/2023 10:35,-0.099555781,-0.009448842,-0.095501699,-0.009408892
10/02/2023 10:36,-0.099658583,-0.009459122,-0.09540287,-0.009399009
10/02/2023 10:36,-0.099561384,-0.009449403,-0.09560404,-0.009419126
10/02/2023 10:37,-0.099564185,-0.009449683,-0.095605211,-0.009419243
10/02/2023 10:37,-0.099566987,-0.009449963,-0.095506381,-0.00940936
10/02/2023 10:38,-0.099669788,-0.009460243,-0.095607552,-0.009419477
10/02/2023 10:38,-0.099572589,-0.009450523,-0.095508722,-0.009409594
10/02/2023 10:39,-0.099575391,-0.009450803,-0.095609893,-0.009419711
10/02/2023 10:39,-0.099578192,-0.009451083,-0.095411064,-0.009399829
10/02/2023 10:40,-0.099580993,-0.009451364,-0.095512234,-0.009409946
10/02/2023 10:40,-0.099783795,-0.009471644,-0.095513405,-0.009410063
10/02/2023 10:41,-0.099786596,-0.009471924,-0.095514575,-0.00941018
10/02/2023 10:41,-0.099789397,-0.009472204,-0.095515746,-0.009410297
10/02/2023 10:42,-0.099792199,-0.009472484,-0.095516916,-0.009410414
10/02/2023 10:42,-0.099895,-0.009482764,-0.095518087,-0.009410531
